5.3986 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
147150.9629 	EXP 	baseLine
147152.3683 	EXP 	distractor
147153.7722 	EXP 	baseLine
147155.1758 	EXP 	baseLine
147156.5826 	EXP 	baseLine
147157.9864 	EXP 	baseLine
147159.3917 	EXP 	baseLine
147160.7954 	EXP 	baseLine
147162.1984 	EXP 	baseLine
147163.6040 	EXP 	distractor
147165.0111 	EXP 	target
147166.4156 	EXP 	baseLine
147167.8224 	EXP 	baseLine
147169.2274 	EXP 	baseLine
147170.6315 	EXP 	baseLine
147172.0351 	EXP 	baseLine
147173.4384 	EXP 	baseLine
147174.8456 	EXP 	baseLine
147176.2499 	EXP 	baseLine
147177.6545 	EXP 	baseLine
147179.0594 	EXP 	baseLine
147180.4631 	EXP 	baseLine
147181.8667 	EXP 	baseLine
147183.2726 	EXP 	baseLine
147184.6762 	EXP 	baseLine
147186.0805 	EXP 	baseLine
147187.4855 	EXP 	baseLine
147188.8891 	EXP 	distractor
147190.2954 	EXP 	baseLine
147191.7005 	EXP 	distractor
147193.1058 	EXP 	target
147194.5094 	EXP 	target
147195.9131 	EXP 	distractor
147197.3167 	EXP 	distractor
147198.7267 	EXP 	baseLine
147200.1306 	EXP 	baseLine
147201.5338 	EXP 	baseLine
147202.9364 	EXP 	baseLine
147204.3398 	EXP 	baseLine
147205.7437 	EXP 	baseLine
147207.1472 	EXP 	target
147208.5525 	EXP 	target
147209.9574 	EXP 	baseLine
147211.3613 	EXP 	baseLine
147212.7685 	EXP 	target
147214.1734 	EXP 	distractor
147215.5778 	EXP 	target
147216.9838 	EXP 	target
147218.3870 	EXP 	baseLine
147219.7917 	EXP 	distractor
147221.1961 	EXP 	baseLine
147222.6012 	EXP 	baseLine
147224.0067 	EXP 	baseLine
147225.4143 	EXP 	baseLine
147226.8189 	EXP 	baseLine
147228.2273 	EXP 	baseLine
147229.6328 	EXP 	baseLine
147231.0360 	EXP 	baseLine
147232.4408 	EXP 	target
147233.8507 	EXP 	distractor
147235.2543 	EXP 	distractor
147236.6631 	EXP 	baseLine
147238.0672 	EXP 	baseLine
147239.4721 	EXP 	baseLine
147240.8778 	EXP 	baseLine
147242.2817 	EXP 	baseLine
147243.6902 	EXP 	distractor
147245.0956 	EXP 	target
147246.5010 	EXP 	baseLine
147247.9063 	EXP 	baseLine
147249.3108 	EXP 	baseLine
147250.7178 	EXP 	distractor
147252.1255 	EXP 	baseLine
147253.5278 	EXP 	distractor
147254.9313 	EXP 	baseLine
147256.3349 	EXP 	baseLine
147257.7389 	EXP 	baseLine
147259.1426 	EXP 	baseLine
147260.5476 	EXP 	baseLine
147261.9534 	EXP 	baseLine
147263.3592 	EXP 	baseLine
147264.7665 	EXP 	baseLine
147266.1701 	EXP 	baseLine
147267.5730 	EXP 	baseLine
147268.9767 	EXP 	distractor
147270.3804 	EXP 	baseLine
147271.7855 	EXP 	distractor
147273.1923 	EXP 	baseLine
147274.5963 	EXP 	baseLine
147275.9995 	EXP 	baseLine
147277.4072 	EXP 	target
147278.8134 	EXP 	distractor
147280.2176 	EXP 	baseLine
147281.6230 	EXP 	baseLine
147283.0265 	EXP 	baseLine
147284.4318 	EXP 	baseLine
147285.8353 	EXP 	baseLine
147287.2404 	EXP 	baseLine
147288.6440 	EXP 	baseLine
147290.0468 	EXP 	baseLine
147291.4507 	EXP 	baseLine
147292.8551 	EXP 	baseLine
147294.2586 	EXP 	baseLine
147295.6665 	EXP 	target
147297.0723 	EXP 	baseLine
147298.4803 	EXP 	baseLine
147299.8890 	EXP 	distractor
147301.2963 	EXP 	distractor
147302.6991 	EXP 	baseLine
147304.1034 	EXP 	baseLine
147305.5071 	EXP 	baseLine
147306.9117 	EXP 	target
147308.3157 	EXP 	distractor
147309.7224 	EXP 	baseLine
147311.1263 	EXP 	baseLine
147312.5305 	EXP 	target
147313.9363 	EXP 	target
147315.3424 	EXP 	baseLine
147316.7487 	EXP 	baseLine
147318.1546 	EXP 	baseLine
147319.5589 	EXP 	distractor
147320.9632 	EXP 	baseLine
147322.3732 	EXP 	baseLine
147323.7788 	EXP 	target
147325.1836 	EXP 	target
147326.5866 	EXP 	baseLine
147327.9947 	EXP 	baseLine
147329.3980 	EXP 	baseLine
147330.8013 	EXP 	baseLine
147332.2108 	EXP 	target
147333.6180 	EXP 	baseLine
147335.0237 	EXP 	baseLine
147336.4301 	EXP 	baseLine
147337.8352 	EXP 	baseLine
147339.2392 	EXP 	baseLine
147340.6431 	EXP 	baseLine
147342.0474 	EXP 	target
147343.4516 	EXP 	target
147344.8550 	EXP 	baseLine
147346.2585 	EXP 	baseLine
147347.6664 	EXP 	baseLine
147349.0753 	EXP 	baseLine
147350.4796 	EXP 	baseLine
147351.8857 	EXP 	baseLine
147353.2895 	EXP 	baseLine
147354.6943 	EXP 	baseLine
