index,timeStamp,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16
5786,778691.6962119,-179815.3125,-188689.3125,-116739.40625,-198552.6875,-182673.390625,-193748.046875,-194958.265625,-179851.875,-195162.296875,-147006.96875,-169300.0625,339137.21875,-187214.640625,0.0,0.0,0.0
5787,778691.6962227,-180084.078125,-188694.953125,-117497.7578125,-198507.8125,-182676.421875,-193730.34375,-194890.046875,-180100.34375,-195221.75,-149940.515625,-169253.40625,338763.03125,-187130.234375,0.0,0.0,0.0
5788,778691.6962331,-179662.96875,-188664.375,-116510.2578125,-198577.28125,-182646.5625,-193736.25,-195004.21875,-179727.78125,-195192.15625,-150439.046875,-169288.453125,338684.8125,-187203.8125,0.0,0.0,0.0
5789,778691.6962439,-180047.328125,-188701.828125,-117244.015625,-198515.953125,-182677.234375,-193740.1875,-194903.640625,-180043.75,-195187.140625,-146935.890625,-169283.796875,339228.5,-187185.671875,0.0,0.0,0.0
5790,778691.7340654,-179781.515625,-188653.28125,-116904.0078125,-198552.953125,-182640.9375,-193707.109375,-194962.90625,-179836.5,-195241.59375,-152736.359375,-169250.890625,338401.03125,-187136.578125,0.0,0.0,0.0
5791,778691.7341339,-179808.78125,-188677.78125,-116666.1796875,-198549.296875,-182658.09375,-193736.421875,-194956.46875,-179824.25,-195160.140625,-147036.125,-169297.65625,339227.6875,-187213.921875,0.0,0.0,0.0
5792,778691.7341473,-180079.328125,-188688.6875,-117406.2890625,-198504.40625,-182665.15625,-193717.03125,-194887.0,-180080.5,-195212.53125,-149955.265625,-169246.421875,338851.375,-187124.0625,0.0,0.0,0.0
5793,778691.7341581,-179646.515625,-188660.25,-116391.703125,-198570.03125,-182637.09375,-193721.140625,-194999.21875,-179711.0625,-195181.6875,-150477.671875,-169280.3125,338769.03125,-187192.375,0.0,0.0,0.0
5794,778691.7341667,-180038.828125,-188707.734375,-117081.7421875,-198519.609375,-182674.8125,-193736.96875,-194899.078125,-180038.46875,-195183.84375,-146960.03125,-169284.609375,339307.78125,-187177.0,0.0,0.0,0.0
5795,778691.7720206,-179771.953125,-188658.203125,-116697.921875,-198548.3125,-182628.140625,-193704.59375,-194949.859375,-179828.015625,-195229.796875,-152743.0625,-169240.703125,338499.46875,-187121.65625,0.0,0.0,0.0
5796,778691.7720513,-179819.515625,-188689.9375,-116446.1484375,-198559.125,-182660.15625,-193746.890625,-194960.765625,-179834.71875,-195153.96875,-147053.203125,-169292.65625,339316.125,-187208.90625,0.0,0.0,0.0
5797,778691.7720589,-180093.1875,-188697.71875,-117151.125,-198522.296875,-182681.4375,-193733.484375,-194891.921875,-180098.5625,-195222.734375,-149942.390625,-169253.75,338944.34375,-187131.9375,0.0,0.0,0.0
5798,778691.7720659,-179668.15625,-188667.40625,-116103.0078125,-198589.890625,-182652.375,-193738.9375,-195005.46875,-179727.0625,-195192.59375,-150487.859375,-169286.484375,338862.09375,-187194.609375,0.0,0.0,0.0
5799,778691.7720721,-180052.78125,-188705.3125,-116794.5703125,-198523.71875,-182685.28125,-193734.734375,-194899.796875,-180047.765625,-195189.375,-146943.59375,-169289.78125,339408.75,-187182.359375,0.0,0.0,0.0
5800,778691.8099433,-179799.84375,-188672.421875,-116433.8125,-198560.65625,-182654.96875,-193720.78125,-194968.8125,-179850.984375,-195245.609375,-152734.5625,-169253.9375,338590.9375,-187134.4375,0.0,0.0,0.0
5801,778691.8099866,-179831.140625,-188707.546875,-116208.6875,-198571.203125,-182676.96875,-193757.171875,-194973.8125,-179855.8125,-195181.953125,-147064.203125,-169311.25,339398.1875,-187230.734375,0.0,0.0,0.0
5802,778691.8099973,-180092.828125,-188706.125,-116990.90625,-198517.90625,-182674.90625,-193729.359375,-194890.9375,-180096.859375,-195232.296875,-149919.140625,-169259.5625,339041.8125,-187135.421875,0.0,0.0,0.0
5803,778691.8100086,-179673.421875,-188681.796875,-116009.578125,-198589.078125,-182642.71875,-193739.921875,-195009.40625,-179729.65625,-195200.109375,-150502.15625,-169291.578125,338944.28125,-187203.640625,0.0,0.0,0.0
5804,778691.8100176,-180058.140625,-188707.546875,-116739.8515625,-198523.71875,-182685.1875,-193749.5625,-194904.625,-180045.171875,-195193.671875,-146941.796875,-169291.84375,339498.15625,-187185.21875,0.0,0.0,0.0
5805,778691.8496824,-179805.484375,-188681.796875,-116419.953125,-198574.328125,-182663.546875,-193743.3125,-194978.5625,-179855.375,-195248.390625,-152741.265625,-169259.125,338673.375,-187135.78125,0.0,0.0,0.0
5806,778691.8497222,-179818.796875,-188701.109375,-116192.7734375,-198575.9375,-182672.5,-193763.078125,-194972.296875,-179840.703125,-195174.265625,-147079.390625,-169315.171875,339486.34375,-187222.0625,0.0,0.0,0.0
5807,778691.849729,-180091.671875,-188702.8125,-116953.5390625,-198530.609375,-182685.09375,-193739.203125,-194896.9375,-180092.125,-195227.203125,-149916.90625,-169266.625,339130.0625,-187128.09375,0.0,0.0,0.0
5808,778691.8497348,-179661.53125,-188675.90625,-115950.9296875,-198591.578125,-182649.0625,-193736.34375,-195000.375,-179719.015625,-195198.859375,-150511.546875,-169292.921875,339034.5625,-187197.46875,0.0,0.0,0.0
5809,778691.84974,-180052.953125,-188708.453125,-116658.671875,-198527.921875,-182687.515625,-193745.546875,-194896.84375,-180043.921875,-195183.296875,-146932.953125,-169289.4375,339582.28125,-187178.78125,0.0,0.0,0.0
5810,778691.8887418,-179783.03125,-188662.578125,-116313.203125,-198556.796875,-182640.578125,-193713.625,-194952.90625,-179834.171875,-195233.09375,-152734.125,-169249.734375,338756.6875,-187124.421875,0.0,0.0,0.0
5811,778691.8887871,-179812.984375,-188684.578125,-116058.75,-198565.125,-182663.375,-193743.578125,-194958.984375,-179837.578125,-195160.046875,-147072.0625,-169303.203125,339576.03125,-187208.203125,0.0,0.0,0.0
5812,778691.8887964,-180093.734375,-188690.296875,-116798.953125,-198512.90625,-182667.671875,-193722.125,-194878.6875,-180095.609375,-195218.796875,-149887.9375,-169250.265625,339220.53125,-187122.375,0.0,0.0,0.0
5813,778691.8888047,-179672.265625,-188676.703125,-115769.6953125,-198584.78125,-182635.03125,-193726.953125,-194999.125,-179732.078125,-195195.734375,-150510.390625,-169282.90625,339123.4375,-187191.203125,0.0,0.0,0.0
5814,778691.8888129,-180064.40625,-188709.609375,-116462.421875,-198526.140625,-182685.640625,-193737.59375,-194901.40625,-180053.046875,-195194.828125,-146920.96875,-169291.84375,339680.8125,-187183.4375,0.0,0.0,0.0
5815,778691.9276857,-179817.1875,-188677.15625,-116125.359375,-198571.5625,-182653.71875,-193726.59375,-194973.46875,-179855.28125,-195251.15625,-152725.09375,-169259.390625,338853.25,-187130.40625,0.0,0.0,0.0
5816,778691.9277241,-179826.84375,-188697.359375,-115857.2265625,-198563.953125,-182663.90625,-193746.984375,-194966.21875,-179841.59375,-195174.984375,-147083.234375,-169305.796875,339668.46875,-187214.71875,0.0,0.0,0.0
5817,778691.9277312,-180115.90625,-188706.484375,-116615.6640625,-198522.828125,-182671.953125,-193737.40625,-194896.9375,-180105.34375,-195222.546875,-149886.15625,-169253.671875,339314.5,-187121.65625,0.0,0.0,0.0
5818,778691.9278162,-179671.1875,-188665.796875,-115596.4296875,-198582.640625,-182633.0625,-193730.53125,-194997.953125,-179725.375,-195191.796875,-150544.984375,-169284.328125,339211.0625,-187187.90625,0.0,0.0,0.0
5819,778691.927834,-180059.9375,-188707.203125,-116303.1015625,-198526.234375,-182677.046875,-193741.96875,-194901.484375,-180052.25,-195182.578125,-146935.890625,-169282.28125,339771.1875,-187173.515625,0.0,0.0,0.0
5820,778691.9679958,-179794.484375,-188666.0625,-115982.0390625,-198558.40625,-182630.46875,-193713.09375,-194962.734375,-179849.5625,-195238.28125,-152728.84375,-169253.484375,338949.4375,-187127.015625,0.0,0.0,0.0
5821,778691.9680497,-179816.5625,-188691.734375,-115728.6640625,-198562.96875,-182659.078125,-193746.4375,-194969.265625,-179840.96875,-195158.890625,-147088.421875,-169293.90625,339767.96875,-187198.984375,0.0,0.0,0.0
5822,778691.9680563,-180104.640625,-188699.78125,-116509.2734375,-198521.9375,-182667.484375,-193732.3125,-194897.5625,-180107.5,-195223.171875,-149878.90625,-169258.578125,339405.6875,-187120.21875,0.0,0.0,0.0
5823,778691.968064,-179678.609375,-188679.390625,-115511.7578125,-198592.5625,-182641.828125,-193735.625,-195010.828125,-179729.75,-195193.84375,-150566.71875,-169288.453125,339294.125,-187187.359375,0.0,0.0,0.0
5824,778691.9680699,-180051.796875,-188707.546875,-116216.1953125,-198525.6875,-182673.203125,-193739.921875,-194897.734375,-180038.828125,-195195.453125,-146942.875,-169297.828125,339849.875,-187185.484375,0.0,0.0,0.0
5825,778692.0049932,-179802.265625,-188664.28125,-115905.0625,-198559.3125,-182639.140625,-193713.71875,-194956.296875,-179839.8125,-195237.75,-152731.171875,-169245.984375,339035.71875,-187122.90625,0.0,0.0,0.0
5826,778692.0050487,-179825.0625,-188691.453125,-115662.5,-198561.28125,-182660.875,-193738.3125,-194957.09375,-179830.78125,-195166.40625,-147112.828125,-169297.203125,339839.5,-187209.546875,0.0,0.0,0.0
5827,778692.0050634,-180104.71875,-188697.09375,-116428.2734375,-198511.65625,-182668.734375,-193719.34375,-194883.15625,-180089.609375,-195224.0625,-149872.65625,-169253.9375,339492.0625,-187131.390625,0.0,0.0,0.0
5828,778692.005077,-179674.765625,-188669.015625,-115429.59375,-198578.4375,-182636.546875,-193729.625,-194991.34375,-179715.984375,-195186.96875,-150575.390625,-169282.640625,339380.75,-187188.625,0.0,0.0,0.0
5829,778692.0051057,-180061.09375,-188698.25,-116105.6015625,-198517.203125,-182671.515625,-193737.40625,-194884.328125,-180033.90625,-195175.078125,-146927.5,-169282.1875,339944.375,-187174.484375,0.0,0.0,0.0
5830,778692.0565618,-179819.78125,-188661.234375,-115790.4375,-198556.625,-182635.75,-193720.6875,-194950.390625,-179857.328125,-195228.1875,-152722.5,-169244.1875,339121.21875,-187125.9375,0.0,0.0,0.0
5831,778692.0565984,-179845.0,-188694.234375,-115526.8671875,-198565.921875,-182661.046875,-193760.484375,-194958.984375,-179851.25,-195166.484375,-147124.71875,-169305.53125,339918.34375,-187220.265625,0.0,0.0,0.0
5832,778692.0566077,-180119.203125,-188695.9375,-116280.75,-198513.890625,-182661.671875,-193734.015625,-194875.203125,-180095.96875,-195218.53125,-149862.1875,-169251.34375,339579.3125,-187123.34375,0.0,0.0,0.0
5833,778692.0566173,-179688.984375,-188665.796875,-115256.9453125,-198582.375,-182629.75,-193739.640625,-194988.75,-179723.40625,-195180.4375,-150581.640625,-169276.5625,339474.1875,-187180.21875,0.0,0.0,0.0
5834,778692.0566257,-180071.28125,-188700.40625,-115936.6171875,-198524.4375,-182665.78125,-193749.84375,-194886.828125,-180040.078125,-195182.765625,-146921.859375,-169284.875,340039.5,-187175.5625,0.0,0.0,0.0
5835,778692.1017904,-179826.40625,-188659.90625,-115631.296875,-198555.640625,-182622.15625,-193723.015625,-194948.421875,-179846.0625,-195225.859375,-152715.703125,-169238.203125,339218.3125,-187120.484375,0.0,0.0,0.0
5836,778692.101938,-179843.65625,-188685.46875,-115388.2890625,-198562.609375,-182649.421875,-193754.484375,-194955.671875,-179835.703125,-195155.140625,-147113.640625,-169288.625,340024.65625,-187213.828125,0.0,0.0,0.0
5837,778692.1019596,-180127.515625,-188697.359375,-116176.765625,-198516.84375,-182660.59375,-193734.640625,-194882.625,-180103.390625,-195217.546875,-149834.65625,-169247.671875,339675.09375,-187134.171875,0.0,0.0,0.0
